deal_id,title,index_num,amount,date
5755,합정 빌라 재계약,5116,15980000,2017.12.28
5621,한솔프라임,4982,199970000,2017.12.19
5526,강남구 아파트,4899,71970000,2017.12.11
5668,더 뮤지컬 1호,5028,399780000,2017.12.22
5603,트리플에스(Triple-S) 2차,4967,99710000,2017.12.18
5552,농협 IoT 스마트판매시스템,4915,299990000,2017.12.12
5580,더존푸드,4934,149760000,2017.12.14
4897,달서미즈맘병원(재모집),4261,297800000,2017.12.4
5729,더 뮤지컬 2호,5089,299780000,2017.12.28
